M,mean_time,std_time
2,0.00208225866669333,0.0002165499406710698
3,0.002157516800010247,0.0001466192620226281
4,0.0019573333333179712,0.0001169484736087856
5,0.0019343219333374387,0.00010579411495691305
6,0.0019313991333395582,0.00010275426213296496
7,0.0019661607333167313,0.00020825332417028834
8,0.002059235533329229,0.00033935027877631235
9,0.00212783993335961,0.00011398365853497548
10,0.0020129045333154255,0.00020860221688072118
11,0.0019515628666795237,0.00012384559971345758
12,0.002207907666661413,0.0005891098479442912
13,0.0026045869333302107,0.0007856433021938773
14,0.0019632364666601156,0.0001501392935337168
15,0.0020288223333182033,0.00017955950483195126
16,0.0020075557333105584,0.00020401047457935636
17,0.00200949273335785,0.0001785529755617393
18,0.0019862635999894946,0.00011493567332285306
19,0.0020078778000045833,0.00014971998717216146
20,0.002143399399998695,0.00026636178237527726
21,0.0020324028000004548,0.00011752019076298816
22,0.0020281891999805643,0.00014431823586118786
23,0.0020742838666744016,0.0001110999750530035
24,0.0021529358666687887,0.000264952241846024
25,0.0020903395999766873,0.00013724789425248295
26,0.002294617133338761,0.0005167303368229404
27,0.0021061265333249444,0.00011867586650084083
28,0.0021023360666807397,0.00011636160539526218
29,0.002152343133351072,0.0001424654017542653
30,0.002253296666655539,0.00018505399984004162
31,0.0021538976666533927,0.0001174618631905436
32,0.0021748588666544795,0.0001168234768477096
33,0.0022055878000022252,0.00011465518436586632
34,0.002217433066668188,0.00012991009969768832
35,0.0022347254666783556,0.00013295132594470885
36,0.0022516114666662665,0.00013284924677584104
37,0.0023705807333347668,0.00021639727998343567
38,0.0025077420000040244,0.00021361208128102503
39,0.0023321294000046085,0.00012444683035778138
40,0.0032603777333254885,0.0009053250412849982
41,0.002332313666670416,0.00012826875661525606
42,0.0023499497333205,0.00011882663665038606
43,0.002373599799989279,0.0001222988922742522
44,0.0024054441999699825,0.00012348302253695564
45,0.0025903682666694296,0.000340568002778844
46,0.002492925599995033,0.00014856446086897786
47,0.0025492590666620647,0.00018329841861560285
48,0.0025223859333361057,0.0001444919271954947
49,0.002613889533336078,0.00025665665028576395
50,0.002565211733334157,0.00014993755044601166
51,0.0026065039333464787,0.00021682395716903752
52,0.0025881851333451776,0.00013502894575860406
53,0.002610504200000226,0.00018836260718118854
54,0.0026898035333336643,0.00014468937081722663
55,0.0026434893333240933,0.00015383315727179398
56,0.002670887600008124,0.00016376714041691764
57,0.0026790674000039872,0.00019189741405383843
58,0.002694635866638843,0.00018344347699378072
59,0.0027521550666733674,0.00018853055357707625
60,0.0029228928666498177,0.0004078179022507947
